rank,tier,name,team,position,byeWeek,strengthOfSchedule,drop,pointsAboveProjection,gamesAboveProjection
386,14,Houston Texans,HOU,DST32,6,-,-,-0.4,43% (7/16)
388,14,Teddy Bridgewater,MIA,QB41,11, 4.6,-,-2.0,42% (6/14)
393,14,Joey Slye,WAS,K31,14,-,-94,-0.5,42% (6/14)
400,14,Equanimeous St. Brown,CHI,WR134,14, 3.6,-,-0.5,21% (3/14)
404,14,Austin Seibert,DET,K32,6,-,-,-2.2,18% (2/11)
406,14,Tristan Vizcaino,NE,K33,10,-,-,-3.4,28% (2/7)
407,14,Antonio Brown,FA,WR137,0,-,-73,+2.5,71% (5/7)
408,14,Zane Gonzalez,CAR,K34,13,-,-,+0.8,41% (5/12)
421,15,Matt Corral,CAR,QB42,13, 3.0,-25,-,-
423,15,Tyrod Taylor,NYG,QB43,9, 9.9,-,-2.6,30% (3/10)
451,15,Gardner Minshew II,PHI,QB44,7, 6.6,-92,-0.7,12% (1/8)
452,15,Tyler Huntley,BAL,QB45,10, 1.0,-127,+1.3,25% (4/16)
454,15,Taylor Heinicke,WAS,QB46,14, 7.0,-,-0.2,40% (6/15)
455,15,Joe Flacco,NYJ,QB47,10,-,-,-0.3,8% (1/12)
